Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score ,NND,NRI,Reference_ID
37,American Islamic Center of Mobile,6207 Old Shell rd,Mobile,AL,36608,,,,1986,,https://www.mosquehq.com/mosques/9rzy1/ism-1,,,,,215
38,Islamic Society of Mobile,63 East Dr.,Mobile,AL,36608,,,,1986,,https://islamicsocietymobile.org/#about-us,,,,,1475
39,Prichard Masjid of Al-Islam,637 S Wilson Ave,Prichard,AL,36610,,,,1992,,https://prayersconnect.com/mosques/84079111-prichard-masjid-of-al-islam-prichard-alabama-united-states,,,,,818
40,Selma Islamic Center,2820 Citizens Pkwy,Selma,AL,36703,,,,2016,,"https://www.causeiq.com/organizations/selma-mosque,812794096/",,,,,2161
41,Auburn Islamic Center,338 Armstrong st,Auburn,AL,36830,,,,1990,,https://www.auburnmuslims.org/,,,,,964
42,Islamic Center of Grand Rapids,1301 Burton Street,Grand Rapids,AL,49509,,,,1986,,https://en.wikipedia.org/wiki/Islamic_Center_and_Mosque_of_Grand_Rapids,,,,,1247
43,Islamic Center of Pine Bluff,3707 E Hepburn st,Pine Bluff,AR,71603,,,,1995,,https://www.facebook.com/pbmosque/,,,,,1322
44,Muslim Center of Conway,1715 South Blvd,Conway,AR,72034,,,,1997,,https://prayersconnect.com/mosques/84078825-muslim-center-of-conway-conway-arkansas-united-states,,,,,2277
45,Islamic Center for Human Excellence,1717 Wright ave,Little Rock,AR,72202,,,,1969,,https://encyclopediaofarkansas.net/entries/muslims-2557/,,,,,1785
46,Islamic Center of Little Rock,3224 Anna st,Little Rock,AR,72204,,,,1994,,https://theiclr.org/iclr-history/,,,,,1278
47,Ismaili Jamatkhana,12500 Kanis Rd,Little Rock,AR,72211,,,,-,Information Without Year,https://prayersconnect.com/mosques/84058248-ismaili-jamatkhana-little-rock-arkansas-united-states,,,,,2282
48,Madina Institute,12123 Kanis Rd,Little Rock,AR,72211,,,,2016,,https://ualr.edu/lrcs/2019/08/23/ramadan-at-little-rocks-madina-institute/,,,,,2276
