Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score,NND,NRI,Reference_ID,geocode_method
3118,Jami Masjid Buffalo,1955 Genesee Street,Buffalo,NY,14211,42.914102456483,-78.809887693197,,2009,,"https://commons.wikimedia.org/wiki/File:Jami_Masjid_Buffalo_-_fmr_Queen_of_Peace_RC_Church_-_Buffalo,_New_York_-_20200531.jpg#:~:text=Queen%20of%20Peace%20was%20founded,center%2C%20on%20the%20site%20today.",47,69,,,244.0,census_geocoder
3119,Masjid Ashrafia,270 Loepere Street,Buffalo,NY,14211,42.900734382837,-78.834581263406,,,,,49,66,,,3787.0,census_geocoder
3120,Masjid Nu Man,1373 Fillmore Ave,Buffalo,NY,14211,42.911104721064,-78.839000623872,,2005,,"https://www.causeiq.com/organizations/masjid-numan,161157940/",48,57,,,1931.0,census_geocoder
3121,Shahjalal Jame Mosque,112 Wende Street,Buffalo,NY,14211,42.914996702826,-78.814794093375,,,,,47,65,,,3783.0,census_geocoder
3122,Baitul Mamoor Jame Masjid,64 Titus Avenue,Buffalo,NY,14212,42.897228154698,-78.82286052539,,,,,43,43,,,3804.0,census_geocoder
3123,Buffalo Islamic Center,863 Broadway,Buffalo,NY,14212,42.892207114678,-78.842681272058,,,,,48,80,,,3802.0,census_geocoder
3124,Downtown Islamic Center,701 Broadway,Buffalo,NY,14212,42.890891732951,-78.848774510498,,,,,49,66,,,3797.0,census_geocoder
3125,Gawsul Azam Mosque USA,60 Ashley Street,Buffalo,NY,14212,42.893832229403,-78.827056852402,,,,,39,53,,,3796.0,census_geocoder
3126,Masjid Al-Rahmah,300 Adams Street,Buffalo,NY,14212,42.887874680074,-78.850992244016,,,,,50,66,,,3788.0,census_geocoder
3127,Masjid Markaz,115 Woltz ave,Buffalo,NY,14212,42.897061405862,-78.835464315879,,1991,,https://www.mapquest.com/us/new-york/buffalo-markaz-mosque-753400160,47,79,,,1910.0,census_geocoder
3128,Masjid Zakariya,182 Sobieski St,Buffalo,NY,14212,42.899274478171,-78.832755176788,,1992,,https://broadwayfillmorealive.org/2.0/2016/03/masjid-zakaria-a-flourishing-community-in-the-heart-of-buffalos-east-side/,47,71,,,395.0,census_geocoder
3129,Masjid-e-Madani,1158 Sycamore Street,Buffalo,NY,14212,42.90071014094,-78.829741571289,,,,,47,58,,,3786.0,census_geocoder
3130,MUNA Center of Buffalo (MCB-WNY),651 Broadway,Buffalo,NY,14212,42.890508414453,-78.850508236,,,,,49,68,,,3791.0,census_geocoder
3131,National Islamic Cultural Center (NIC Center),24 Titus Avenue,Buffalo,NY,14212,42.896338780558,-78.822858290855,,,,,43,61,,,3785.0,census_geocoder
3132,ROHINGYA COMMUNITY INC ( MASJID AL ANSAR ),327 Paderewski Drive,Buffalo,NY,14212,42.889641230193,-78.836501455775,,,,,45,81,,,3784.0,census_geocoder
3133,Sloan Islamic Cultural Center,471 Goethe Street,Buffalo,NY,14212,42.898208044772,-78.799792153844,,,,,37,45,,,3782.0,census_geocoder
3134,Al-Hikmah Islamic Center,331 Normal Avenue,Buffalo,NY,14213,42.90878732161,-78.890633689681,,,,,47,86,,,3780.0,census_geocoder
3135,Al-Khulafa Mosque,215 Forest Ave,Buffalo,NY,14213,42.927661170076,-78.89096990351,,2024,,https://paytax.erie.gov/(S(ftxkhc1n0yqeibjghxin0kzd))/Report/Web_Report_CrystalViewer.aspx?REPORTNAME=C:\eGov\Reports\ERI_WEB_TAXMAP.rpt&REPORTCONNECTIONKEY=TAXMAP_W8-SQL-GVRN-E2_SQL&ReportParameter=TAX_MAP=1402000886700001028000,44,69,,,378.0,census_geocoder
3136,Burmese Muslim Community,552 Fargo Avenue,Buffalo,NY,14213,42.91064345171,-78.897557577253,,,,,49,78,,,3799.0,census_geocoder
3137,Masjid Al-Eiman (ICAWNY),444 Connecticut st,Buffalo,NY,14213,42.907322917416,-78.884960592168,,2002,,https://masjidaleiman.com/about-us,57,89,,,1656.0,census_geocoder
